REGION,TOTAL_CASE_REGION,TOTAL_CASES_ACTIVE,TOTAL_CASES_RECOVERED,TOTAL_CASES_DIED,PROVINCE,CITY,LAST_14_CASES_ACTIVE,LAST_14_CASES_RECOVERED,LAST_14_CASES_DIED,POSIVITY_RATE,ICU,ICU_OCCUPIED,ICU_OCCUPIED_RATE,ICU_VACANT,ICU_VACANT_RATE,NON_ICU,NON_ICU_OCCUPIED,NON_ICU_OCCUPIED_RATE,NON_ICU_VACANT,NON_ICU_VACANT_RATE,MECHANICAL_VENTILATORS,MECHANICAL_VENTILATOR_OCCUPIED,MECHANICAL_VENTILATOR_OCCUPIED_RATE,MECHANICAL_VENTILATOR_VACANT,MECHANICAL_VENTILATOR_VACANT_RATE,FACILITIES,BED_OCCUPANCY_RATE,BED_OCCUPANY_TOTAL,BED_OCCUPIED,BED_VACANT,OCCUPANCY_SAFE,OCCUPANY_MODERATE,OCCUPANY_HIGH,OCCUPANCY_CRITICAL,CLUSTER
NCR,52767,70,52306,391,PASAY,PASAY,80,221,0,0.142,9,0,0.0,9,1.0,90,16,0.1778,74,0.8222,23,0,0.0,23,1.0,4,0.162,99,16,83,4,0,0,0,0.0
NCR,24459,124,241813,2592,QUEZON,QUEZON,169,639,0,0.142,419,100,0.2387,319,0.7613,1618,470,0.2905,1148,0.7095,342,55,0.1608,287,0.8392,51,0.28,2037,570,1467,48,3,0,0,4.0
NCR,10238,1,10152,85,PATEROS,PATEROS,1,8,0,0.142,18,1,0.0556,17,0.9444,483,14,0.028999999999999998,469,0.971,47,2,0.0426,45,0.9574,10,0.03,501,15,486,10,0,0,0,0.0
NCR,83665,55,83069,541,TAGUIG,TAGUIG,71,171,1,0.142,18,1,0.0556,17,0.9444,483,14,0.028999999999999998,469,0.971,47,2,0.0426,45,0.9574,10,0.03,501,15,486,10,0,0,0,0.0
IV-A,93181,114,92048,1019,BATANGAS,BATANGAS,52,293,0,0.142,54,11,0.2037,43,0.7963,437,87,0.1991,350,0.8009,74,7,0.0946,67,0.9054,65,0.2,491,98,393,44,1,3,4,3.0
IV-A,218217,164,216576,1477,CAVITE,CAVITE,130,705,1,0.142,56,16,0.2857,40,0.7143,650,116,0.1785,534,0.8215,114,13,0.114,101,0.8859999999999999,65,0.187,706,132,574,52,1,0,1,1.0
IV-A,164215,87,162554,1574,LAGUNA,LAGUNA,50,588,2,0.142,90,11,0.12222000000000001,79,0.8778,679,124,0.1826,555,0.8174,84,4,0.0476,80,0.9524,61,0.17600000000000002,769,135,634,47,1,1,1,1.0
IV-A,9337,4,9197,136,LUCENA,LUCENA,0,43,0,0.142,11,2,0.1818,9,0.8182,142,34,0.2394,108,0.7606,10,1,0.1,9,0.9,6,0.235,153,36,117,4,0,0,0,0.0
IV-A,28620,16,28236,368,QUEZON_IV,QUEZON_IV,0,122,0,0.142,1,0,0.0,1,1.0,293,29,0.099,264,0.9009999999999999,4,0,0.0,4,1.0,30,0.099,294,29,265,20,0,0,0,0.0
IV-A,141862,199,139990,1673,RIZAL,RIZAL,68,420,1,0.142,22,1,0.0455,21,0.9545,749,233,0.3111,516,0.6889,28,1,0.0357,27,0.9643,46,0.304,771,234,537,36,0,2,0,1.0
IV-B,4760,6,4650,104,MARINDUQUE,BOAC,2,9,0,0.142,0,0,0.0,0,0.0,23,1,0.0305,22,0.9695,1,0,0.0,1,1.0,1,0.043,23,1,22,1,0,0,0,2.0
IV-B,4760,6,4650,104,MARINDUQUE,SANTA_CRUZ_IV,2,9,0,0.142,0,0,0.0,0,0.0,10,0,0.0,10,1.0,0,0,0.0,0,0.0,1,0.0,10,0,10,1,0,0,0,2.0
IV-B,4760,6,4650,104,MARINDUQUE,TORRIJOS,2,9,0,0.142,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0.0,0,0,0,1,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,ABRA_DE__ILOG,1,14,0,0.142,0,0,0.0,0,0.0,3,0,0.0,3,1.0,0,0,0.0,0,0.0,1,0.0,3,0,3,1,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,LUBANG,1,14,0,0.142,0,0,0.0,0,0.0,6,0,0.0,6,1.0,0,0,0.0,0,0.0,1,0.0,6,0,6,1,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,MAMBURAO,1,14,0,0.142,4,0,0.0,4,1.0,46,0,0.0,46,1.0,2,0,0.0,2,1.0,1,0.0,50,0,50,1,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,PALUAN,1,14,0,0.142,0,0,0.0,0,0.0,3,0,0.0,3,1.0,0,0,0.0,0,0.0,1,0.0,3,0,3,1,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,SABLAYAN,1,14,0,0.142,0,0,0.0,0,0.0,25,0,0.0,25,1.0,1,0,0.0,1,1.0,2,0.0,25,0,25,1,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,SAN_JOSE,1,14,0,0.142,0,0,0.0,0,0.0,20,0,0.0,20,1.0,2,0,0.0,2,1.0,4,0.0,20,0,20,4,0,0,0,2.0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,SANTA_CRUZ_IV_B,1,14,0,0.142,0,0,0.0,0,0.0,1,0,0.0,1,1.0,0,0,0.0,0,0.0,1,0.0,1,0,1,1,0,0,0,2.0
