REGION,TOTAL_CASE_REGION,TOTAL_CASES_ACTIVE,TOTAL_CASES_RECOVERED,TOTAL_CASES_DIED,PROVINCE,CITY,LAST_14_CASES_ACTIVE,LAST_14_CASES_RECOVERED,LAST_14_CASES_DIED,POSIVITY_RATE,ICU,ICU_OCCUPIED,ICU_OCCUPIED_RATE,ICU_VACANT,ICU_VACANT_RATE,NON_ICU,NON_ICU_OCCUPIED,NON_ICU_OCCUPIED_RATE,NON_ICU_VACANT,NON_ICU_VACANT_RATE,MECHANICAL_VENTILATORS,MECHANICAL_VENTILATOR_OCCUPIED,MECHANICAL_VENTILATOR_OCCUPIED_RATE,MECHANICAL_VENTILATOR_VACANT,MECHANICAL_VENTILATOR_VACANT_RATE,FACILITIES,BED_OCCUPANCY_RATE,BED_OCCUPANY_TOTAL,BED_OCCUPIED,BED_VACANT,OCCUPANCY_SAFE,OCCUPANY_MODERATE,OCCUPANY_HIGH,OCCUPANCY_CRITICAL
IV-A,141862,199,139990,1673,RIZAL,RIZAL,68,420,1,0.142,22,1,0.0455,21,0.9545,749,233,0.3111,516,0.6889,28,1,0.0357,27,0.9643,46,0.304,771,234,537,36,0,2,0
IV-B,4760,6,4650,104,MARINDUQUE,BOAC,2,9,0,0.142,0,0,0,0,0,23,1,0.0305,22,0.9695,1,0,0,1,1,1,0.043,23,1,22,1,0,0,0
IV-B,4760,6,4650,104,MARINDUQUE,SANTA_CRUZ_IV,2,9,0,0.142,0,0,0,0,0,10,0,0,10,1,0,0,0,0,0,1,0,10,0,10,1,0,0,0
IV-B,4760,6,4650,104,MARINDUQUE,TORRIJOS,2,9,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,ABRA_DE__ILOG,1,14,0,0.142,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,3,0,3,1,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,LUBANG,1,14,0,0.142,0,0,0,0,0,6,0,0,6,1,0,0,0,0,0,1,0,6,0,6,1,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,MAMBURAO,1,14,0,0.142,4,0,0,4,1,46,0,0,46,1,2,0,0,2,1,1,0,50,0,50,1,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,PALUAN,1,14,0,0.142,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,3,0,3,1,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,SABLAYAN,1,14,0,0.142,0,0,0,0,0,25,0,0,25,1,1,0,0,1,1,2,0,25,0,25,1,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,SAN_JOSE,1,14,0,0.142,0,0,0,0,0,20,0,0,20,1,2,0,0,2,1,4,0,20,0,20,4,0,0,0
IV-B,8360,20,8157,183,OCCIDENTAL_MINDORO,SANTA_CRUZ_IV_B,1,14,0,0.142,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,BONGABONG,17,26,0,0.142,0,0,0,0,0,10,0,0,10,1,0,0,0,0,0,2,0,10,0,10,2,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,BULACAO,17,26,0,0.142,0,0,0,0,0,9,0,0,9,1,0,0,0,0,0,1,0,9,0,9,1,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,CALAPAN,17,26,0,0.142,10,0,0,10,1,168,25,0.1488,145,0.8512,10,0,0,10,1,6,0.14,178,25,153,6,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,NAUJAN,17,26,0,0.142,0,0,0,0,0,7,0,0,7,1,0,0,0,0,0,1,0,7,0,7,1,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,PINAMALAYAN,17,26,0,0.142,0,0,0,0,0,49,4,0.816,45,0.9184,0,0,0,0,0,4,0.082,49,4,45,4,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,ROXAS,17,26,0,0.142,0,0,0,0,0,37,0,0,37,1,0,0,0,0,0,1,0,37,0,37,1,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,SOCORRO,17,26,0,0.142,0,0,0,0,0,7,0,0,7,1,0,0,0,0,0,1,0,7,0,7,1,0,0,0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,VICTORIA,17,26,0,0.142,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,4,0,4,0,4,2,0,0,0
IV-B,7088,31,6907,150,PALAWAN,ABORLAN,7,8,1,0.142,0,0,0,0,0,12,6,0.5,6,0.5,1,0,0,1,1,1,0.5,12,6,6,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,BATARAZA,7,8,1,0.142,0,0,0,0,0,10,0,0,10,1,0,0,0,0,0,2,0,10,0,10,2,0,0,0
IV-B,7088,31,6907,150,PALAWAN,BROOKE_POINT,7,8,1,0.142,0,0,0,0,0,46,2,0.0435,44,0.9565,4,0,0,4,1,4,0.043,46,2,44,4,0,0,0
IV-B,7088,31,6907,150,PALAWAN,CORON,7,8,1,0.142,0,0,0,0,0,8,0,0,8,1,0,0,0,0,0,1,0,8,0,8,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,CULION,7,8,1,0.142,15,3,0.2,12,0.8,35,5,0.1429,30,0.8571,8,0,0,8,1,1,0.16,50,8,42,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,CUYO,7,8,1,0.142,2,0,0,2,1,5,0,0,5,1,3,0,0,3,1,1,0,7,0,7,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,DUMARAN,7,8,1,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,EL_NIDO,7,8,1,0.142,0,0,0,0,0,9,0,0,9,1,0,0,0,0,0,1,0,9,0,9,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,NARRA,7,8,1,0.142,0,0,0,0,0,10,0,0,10,1,0,0,0,0,0,1,0,10,0,10,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,QUEZON_IV_B,7,8,1,0.142,0,0,0,0,0,10,1,0.1,9,0.9,0,0,0,0,0,1,0.1,10,1,9,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,RIZAL_IV_B,7,8,1,0.142,0,0,0,0,0,4,1,0.25,3,0.75,0,0,0,0,0,1,0.25,4,1,3,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,ROXAS_IV_B,7,8,1,0.142,0,0,0,0,0,28,0,0,0,0,1,0,0,1,1,2,0,28,0,28,2,0,0,0
IV-B,7088,31,6907,150,PALAWAN,SAN_VICENTE,7,8,1,0.142,0,0,0,0,0,4,0,0,4,1,2,0,0,2,1,1,0,4,0,4,1,0,0,0
IV-B,7088,31,6907,150,PALAWAN,TAYTAY,7,8,1,0.142,0,0,0,0,0,8,0,0,8,1,1,0,0,1,1,1,0,8,0,8,1,0,0,0
IV-B,5669,45,5421,203,PUERTO_PRINCESA,PUERTO_PRINCESA,20,10,0,0.142,8,0,0,8,1,81,2,0.0247,79,0.9753,14,0,0,14,1,4,0.022,89,2,87,4,0,0,0
IV-B,5625,12,5522,91,ROMBLON,CAJDIOCAN,1,3,0,0.142,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
IV-B,5625,12,5522,91,ROMBLON,CORCUERA,1,3,0,0.142,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,3,0,3,1,0,0,0
IV-B,5625,12,5522,91,ROMBLON,LOOC,1,3,0,0.142,0,0,0,0,0,11,0,0,11,1,0,0,0,0,0,1,0,11,0,11,1,0,0,0
IV-B,5625,12,5522,91,ROMBLON,ODIONGAN,1,3,0,0.142,0,0,0,0,0,35,0,0,35,1,0,0,0,0,0,4,0,35,0,35,4,0,0,0
IV-B,5625,12,5522,91,ROMBLON,ROMBLON,1,3,0,0.142,0,0,0,0,0,14,0,0,14,1,1,0,0,1,1,1,0,14,0,14,1,0,0,0
IV-B,5625,12,5522,91,ROMBLON,SAN_AGUSTIN,1,3,0,0.142,0,0,0,0,0,10,0,0,10,1,0,0,0,0,0,1,0,10,0,10,1,0,0,0
IV-B,5625,12,5522,91,ROMBLON,SAN_ANDRES,1,3,0,0.142,0,0,0,0,0,5,0,0,5,1,0,0,0,0,0,1,0,5,0,5,1,0,0,0
IV-B,5625,12,5522,91,ROMBLON,SAN_JOSE,1,3,0,0.142,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,3,0,3,1,0,0,0
III,19401,34,19054,313,ANGELES,ANGELES,48,95,0,0.142,41,0,0,41,1,124,0,0,124,1,21,0,0,21,1,10,0,165,0,165,9,0,0,0
III,4288,2,4061,225,AURORA,BALER,2,6,0,0.142,3,0,0,3,1,47,0,0,47,1,1,0,0,1,1,2,0,50,0,50,2,0,0,0
III,4288,2,4061,225,AURORA,CASIGURAN,2,6,0,0.142,0,0,0,0,0,5,0,0,5,1,0,0,0,0,0,1,0,5,0,5,1,0,0,0
III,41627,36,41068,523,BATAAN,BAGAC,35,109,0,0.142,0,0,0,0,0,7,2,0.2857,5,0.7143,0,0,0,0,0,1,0.286,7,2,5,1,0,0,0
III,41627,36,41068,523,BATAAN,BALANGA,35,109,0,0.142,47,24,0.5106,23,0.4894,345,18,0.0522,327,0.9478,37,17,0.4595,20,0.5405,7,0.107,392,42,350,6,0,0,0
III,41627,36,41068,523,BATAAN,DINALUPIHAN,35,109,0,0.142,0,0,0,0,0,118,13,0.1102,105,0.8889,4,0,0,4,1,3,0.11,118,13,105,3,0,0,0
III,41627,36,41068,523,BATAAN,MARIVELES,35,109,0,0.142,0,0,0,0,0,6,1,0.1667,5,0.8333,2,0,0,2,1,2,0.167,6,1,5,2,0,0,0
III,41627,36,41068,523,BATAAN,ORANI,35,109,0,0.142,0,0,0,0,0,52,5,0.096,47,0.9038,0,0,0,0,0,1,0.096,52,5,47,1,0,0,0
III,41627,36,41068,523,BATAAN,ORION,35,109,0,0.142,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,3,0,3,1,0,0,0
III,136458,91,134647,1720,BULACAN,BALAGTAS,68,316,0,0.142,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,2,0,4,0,4,2,0,0,0
III,136458,91,134647,1720,BULACAN,BALIUAG,68,316,0,0.142,6,2,0.3333,4,0.6667,93,7,0.0753,86,0.9247,3,1,0.3333,2,0.6667,7,0.091,99,9,90,7,0,0,0
III,136458,91,134647,1720,BULACAN,BOCAUE,68,316,0,0.142,0,0,0,0,0,48,7,0.1458,41,0.8542,0,0,0,0,0,4,0.146,48,7,41,4,0,0,0
III,136458,91,134647,1720,BULACAN,BULACAN,68,316,0,0.142,0,0,0,0,0,15,2,0.133,13,0.8667,0,0,0,0,0,2,0.1333,15,2,13,1,0,0,0
III,136458,91,134647,1720,BULACAN,BUSTOS,68,316,0,0.142,0,0,0,0,0,12,9,0.75,3,0.25,0,0,0,0,0,2,0.75,12,9,3,1,0,0,1
III,136458,91,134647,1720,BULACAN,CALUMPIT,68,316,0,0.142,0,0,0,0,0,24,11,0.4583,13,0.5417,0,0,0,0,0,2,0.458,24,11,13,2,0,0,0
III,136458,91,134647,1720,BULACAN,MALOLOS,68,316,0,0.142,28,0,0,28,1,229,2,0.08,227,0.9913,40,0,0,40,1,11,0.008,257,2,255,11,0,0,0
III,136458,91,134647,1720,BULACAN,MEYCAUYAN,68,316,0,0.142,4,1,0.25,3,0.75,37,8,0.2162,29,0.7838,4,0,0,4,1,5,0.22,41,9,32,3,0,1,0
III,136458,91,134647,1720,BULACAN,SAN_JOSE_DEL_MONTE,68,316,0,0.142,16,0,0,16,1,127,26,0.2047,101,0.7953,11,0,0,11,1,9,0.182,143,26,117,8,0,1,0
III,136458,91,134647,1720,BULACAN,GUIGUINTO,68,316,0,0.142,0,0,0,0,0,24,2,0.083,22,0.9167,0,0,0,0,0,3,0.083,24,2,22,3,0,0,0
III,136458,91,134647,1720,BULACAN,HAGONOY,68,316,0,0.142,0,0,0,0,0,11,0,0,11,1,0,0,0,0,0,3,0,11,0,11,1,0,0,0
III,136458,91,134647,1720,BULACAN,MARILAO,68,316,0,0.142,0,0,0,0,0,4,2,0.5,2,0.5,0,0,0,0,0,1,0.5,4,2,2,1,0,0,0
III,136458,91,134647,1720,BULACAN,NORZAGARAY,68,316,0,0.142,4,1,0.25,3,0.75,12,1,0.0833,11,0.9167,0,0,0,0,0,1,0.125,16,2,14,1,0,0,0
III,136458,91,134647,1720,BULACAN,PANDI,68,316,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
III,136458,91,134647,1720,BULACAN,PAOMBONG,68,316,0,0.142,0,0,0,0,0,5,0,0,5,1,0,0,0,0,0,1,0,5,0,5,1,0,0,0
III,136458,91,134647,1720,BULACAN,PLARIDEL,68,316,0,0.142,1,0,0,1,1,1,27,0,27,1,1,0,0,1,1,6,0,28,0,28,5,0,0,0
III,136458,91,134647,1720,BULACAN,PULILAN,68,316,0,0.142,1,0,0,1,1,18,3,0.1667,15,0.8333,1,0,0,1,1,2,0.158,19,3,16,2,0,0,0
III,136458,91,134647,1720,BULACAN,SAN_ILDEFONSO,68,316,0,0.142,0,0,0,0,0,13,3,0.231,10,0.7692,0,0,0,0,0,2,0.231,13,3,10,2,0,0,0
III,136458,91,134647,1720,BULACAN,SAN_MIGUEL,68,316,0,0.142,0,0,0,0,0,34,1,0.029,33,0.971,0,0,0,0,0,2,0.029,34,1,33,2,0,0,0
III,136458,91,134647,1720,BULACAN,SANTA_MARIA,68,316,0,0.142,0,0,0,0,0,89,16,0.1798,73,0.8202,0,0,0,0,0,5,0.18,89,16,73,3,0,0,1
III,41140,23,40097,1020,NUEVA_ECIJA,BONGABONG,14,92,1,0.142,0,0,0,0,0,15,0,0,15,1,0,0,0,0,0,1,0,15,0,15,1,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,CABANATUAN,14,92,1,0.142,24,0,0,24,1,255,8,0.0314,247,0.9686,32,0,0,32,1,8,0.029,279,8,271,8,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,CABIAO,14,92,1,0.142,0,0,0,0,0,11,2,0.1818,9,0.8182,0,0,0,0,0,2,0.182,11,2,9,1,1,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,CARRANGLAN,14,92,1,0.142,0,0,0,0,0,6,0,0,6,1,0,0,0,0,0,1,0,6,0,6,1,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,GAPAN,14,92,1,0.142,4,0,0,4,1,30,0,0,30,1,2,0,0,2,1,2,0,34,0,34,2,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,GABALDON,14,92,1,0.142,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,1,0,4,0,4,1,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,GENERAL_TINIO,14,92,1,0.142,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,GUIMBA,14,92,1,0.142,0,0,0,0,0,19,1,0.053,18,0.9474,1,0,0,1,1,3,0.053,19,1,18,3,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,PALAYAN,14,92,1,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,SAN_ANTONIO,14,92,1,0.142,0,0,0,0,0,15,0,0,15,1,0,0,0,0,0,1,0,15,0,15,1,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,SAN_ISIDRO,14,92,1,0.142,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,2,0,3,0,3,2,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,SAN_JOSE,14,92,1,0.142,0,0,0,0,0,67,0,0,67,1,0,0,0,0,0,3,0,67,0,67,3,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,SAN_LEONARDO,14,92,1,0.142,10,0,0,10,1,43,0,0,43,1,12,0,0,12,1,3,0,53,0,53,3,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,SANTO_DOMINGO,14,92,1,0.142,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,1,0,4,0,4,1,0,0,0
III,41140,23,40097,1020,NUEVA_ECIJA,MUNOZ,14,92,1,0.142,0,0,0,0,0,8,0,0,8,1,0,0,0,0,0,1,0,8,0,8,1,0,0,0
III,8119,24,7928,167,OLONGAPO,OLONGAPO,4,25,0,0.142,9,1,0.1111,8,0.8889,93,29,0.3118,64,0.6882,14,1,0.0714,13,0.9286,4,0.294,102,30,72,4,0,0,0
III,69020,35,67442,1543,PAMPANGA,APALIT,33,158,0,0.142,2,0,0,2,1,15,0,0,15,1,2,0,0,2,1,4,0,17,0,17,3,0,0,0
III,69020,35,67442,1543,PAMPANGA,ARAYAY,33,158,0,0.142,3,0,0,3,1,46,4,0.087,42,0.913,2,0,0,2,1,5,0.082,49,4,45,5,0,0,0
III,69020,35,67442,1543,PAMPANGA,CANDABA,33,158,0,0.142,0,0,0,0,0,7,0,0,7,1,0,0,0,0,0,2,0,7,0,7,2,0,0,0
III,69020,35,67442,1543,PAMPANGA,SAN_FERNANDO,33,158,0,0.142,65,0,0,65,1,213,2,0.0094,211,0.9906,64,0,0,64,1,8,0.07,278,2,276,8,0,0,0
III,69020,35,67442,1543,PAMPANGA,FLORIDA_BLANCA,33,158,0,0.142,3,0,0,3,1,65,3,0.0462,62,0.9538,1,0,0,1,1,3,0.044,68,3,65,3,0,0,0
III,69020,35,67442,1543,PAMPANGA,GUAGUA,33,158,0,0.142,4,0,0,4,1,82,0,0,82,1,4,0,0,4,1,3,0,86,0,86,2,0,0,0
III,69020,35,67442,1543,PAMPANGA,LUBAO,33,158,0,0.142,0,0,0,0,0,43,0,0,43,1,1,0,0,1,1,2,0,43,0,43,2,0,0,0
III,69020,35,67442,1543,PAMPANGA,MABALACAT,33,158,0,0.142,2,0,0,2,1,60,2,0.032,60,0.9667,4,0,0,4,1,7,0.032,62,2,62,4,0,0,0
III,69020,35,67442,1543,PAMPANGA,MACABEBE,33,158,0,0.142,0,0,0,0,0,20,0,0,20,1,0,0,0,0,0,2,0,20,0,20,2,0,0,0
III,69020,35,67442,1543,PAMPANGA,MAGALANG,33,158,0,0.142,0,0,0,0,0,26,0,0,26,1,0,0,0,0,0,3,0,26,0,26,3,0,0,0
III,69020,35,67442,1543,PAMPANGA,MEXICO,33,158,0,0.142,0,0,0,0,0,20,0,0,20,1,0,0,0,0,0,1,0,20,0,20,1,0,0,0
III,69020,35,67442,1543,PAMPANGA,PORAC,33,158,0,0.142,0,0,0,0,0,14,0,0,14,1,0,0,0,0,0,1,0,14,0,14,1,0,0,0
III,69020,35,67442,1543,PAMPANGA,SAN_LUIS,33,158,0,0.142,0,0,0,0,0,14,0,0,14,1,0,0,0,0,0,1,0,14,0,14,1,0,0,0
III,69020,35,67442,1543,PAMPANGA,SANTA_ANA,33,158,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
III,69020,35,67442,1543,PAMPANGA,SANTO_TOMAS,33,158,0,0.142,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,1,0,4,0,4,1,0,0,0
III,28946,32,28310,604,TARLAC,CAMILING,22,63,1,0.142,4,0,0,4,1,22,0,0,22,1,2,0,0,2,1,4,0,26,0,26,4,0,0,0
III,28946,32,28310,604,TARLAC,CAPAS,22,63,1,0.142,1,0,0,1,1,36,4,0.1111,32,0.8889,0,0,0,0,0,3,0.108,37,4,33,3,0,0,0
III,28946,32,28310,604,TARLAC,TARLAC,22,63,1,0.142,46,6,0.1304,40,0.8696,279,31,0.1111,24,0.8889,29,2,0.069,27,0.931,10,0.114,325,37,288,10,0,0,0
III,28946,32,28310,604,TARLAC,CONCEPCION,22,63,1,0.142,0,0,0,0,0,16,0,0,16,1,0,0,0,0,0,4,0,16,0,16,4,0,0,0
III,28946,32,28310,604,TARLAC,GERONA,22,63,1,0.142,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,1,0,4,0,4,1,0,0,0
III,28946,32,28310,604,TARLAC,LAPAZ,22,63,1,0.142,0,0,0,0,0,10,0,0,10,1,0,0,0,0,0,1,0,10,0,10,1,0,0,0
III,28946,32,28310,604,TARLAC,MOCANDA,22,63,1,0.142,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
III,28946,32,28310,604,TARLAC,PANIQUI,22,63,1,0.142,0,0,0,0,0,32,5,0.156,27,0.8483,0,0,0,0,0,3,0.156,32,5,27,3,0,0,0
